username,user_influence,degree,betweenness,closeness
kylegriffin1,567.13,0.1231,0.0000,0.0635
donwinslow,386.00,0.0981,0.0000,0.0982
robinmonotti,21.53,0.0851,0.0006,0.0864
DPJHodges,72.75,0.0790,0.0000,0.0932
21WIRE,35.93,0.0769,0.0011,0.0844
Nigel_Farage,746.69,0.0738,0.0000,0.0820
ArchRose90,48.12,0.0635,0.0000,0.0789
canadiancarol1,5.54,0.0632,0.0020,0.0573
SeanCollins66,7.15,0.0620,0.0019,0.0625
ProjectLincoln,1067.36,0.0605,0.0000,0.0537
Thomas_Binder,18.00,0.0547,0.0004,0.0807
LPerrins,27.43,0.0538,0.0000,0.0640
davidkurten,49.60,0.0517,0.0000,0.0827
